ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Atlantic needlefish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",6,,11,,10,,7,,9,,8,,6,,5,,6,,5,,5,
Atlantic saury,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Atlantic silverside,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",693,,320,,432,,462,,459,,264,,214,,189,,207,,146,,192,
Atlantic thread herring,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,8,,0,...,15,,0,...,0,...,5,,7,,12,,12,,7,
Banded rudderfish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",3,,2,,6,,2,,2,,1,,1,,1,,1,,1,,0,N
Bar jack,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,N,0,N,0,N,0,N,0,N,0,N,1,
Barracudas nei,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",2,,1,,1,,1,,2,,1,,1,,2,,3,,1,,2,
Bay anchovy,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,N,0,...,0,...
Blue runner,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,N,0,N,2,,1,,1,,2,,1,,1,,5,,1,,0,N
Bluefish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",3150,,2335,,2117,,1901,,2180,,1767,,1835,,1733,,956,,1249,,1030,
"Butterfishes, pomfrets nei","Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Capelin,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",26617,,32814,,31844,,30547,,29165,,37275,,37505,,22278,,28607,,25727,,26990.6,
Clupeoids nei,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,2,,0,...,5,,1,,20,,0,...,0,...,0,...,1,
Cobia,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",24,,13,,17,,22,,29,,37,,39,,25,,22,,29,,34,
Common dolphinfish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",148,,66,,541,,501,,604,,514,,491,,426,,376,,439.32,,325.15,E
